Uncurated-gene-id	Uncurated-gene-uniprot-id	Uncurated-gene-synonims	Biocyc-gene-sinomys	Pathway-Biocyc-label	Pathway-Biocyc-id	Reaction-Biocyc-label	Reaction-Biocyc-id	EV-COMP-HINF-SEQ-ORTHOLOGY	EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	EV-EXP-IDA-PART-PURIFIED-PROTEIN-HH	EV-EXP-TAS	EV-EXP-IDA-PURIFIED-PROTEIN	EV-AS-TAS	EV-EXP-IDA-PURIFIED-PROTEIN-NH	EV-COMP-HINF-ORTHOLOGY-EXP	EV-EXP-IDA-PURIFIED-PROTEIN-HH	EV-COMP-HINF-FN-FROM-SEQ	EV-COMP-AINF	EV-EXP-IDA-UNPURIFIED-PROTEIN	EV-EXP-IMP	EV-EXP-IMP-REACTION-ENHANCED	EV-EXP-IMP-REACTION-BLOCKED	EV-EXP-IDA-PART-PURIFIED-PROTEIN-NH	EV-EXP-IPI	EV-EXP-IGI-FUNC-COMPLEMENTATION	EV-EXP-IDA	EV-EXP-IDA-UNPURIFIED-PROTEIN-HH
SCNN1D	A6NNH0	['SCNN1D']	['SCNN1D', 'DNACH']			TRANS-RXN66-566	TRANS-RXN66-566											TRANS-RXN66-566									
USP27X	A6NNY8	['USP27X', 'USP22L', 'USP27']	['USP27X', 'USP22L', 'USP27']			3.4.19.12-RXN	3.4.19.12-RXN																				
EPM2A	B3EWF7	['EPM2A']	['EPM2A', 'MELF', 'EPM2', 'LDE', 'LD']			3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN	3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
PRNP	F7VJQ1	['PRNP', 'ALTPRP', 'PRIP', 'PRP']	['ABCB6', 'MTABC3', 'PRP', 'UMAT']			3.6.3.44-RXN	3.6.3.44-RXN																				
USP9Y	O00507	['USP9Y', 'DFFRY']	['USP9Y', 'DFFRY', 'USP10']			3.4.19.12-RXN	3.4.19.12-RXN																				
CLIC1	O00299	['CLIC1', 'G6', 'NCC27']	['CLIC1', 'NCC27']			TRANS-RXN66-1095	TRANS-RXN66-1095											TRANS-RXN66-1095									
RTCA	O00442	['RTCA', 'RPC', 'RPC1', 'RTC1', 'RTCD1']	['RTCA', 'RPC', 'RPC1', 'RTC1', 'RTCD1']			RNA-3-PHOSPHATE-CYCLASE-RXN,RXN-17930,RXN-17931,RXN-17928	RNA-3-PHOSPHATE-CYCLASE-RXN,RXN-17930,RXN-17931,RXN-17928																				
STK25	O00506	['STK25', 'SOK1', 'YSK1']	['STK25', 'YSK1', 'SOK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
LAD1	O00515	['LAD1', 'LAD']	['DLD', 'G66-37897', 'GCSL', 'LAD', 'PHE3']	TCA cycle,leucine degradation,valine degradation,superpathway of methionine degradation,2-oxobutanoate degradation,threonine degradation,isoleucine degradation,glycine cleavage,superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,pyruvate decarboxylation to acetyl CoA,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,2-oxoglutarate decarboxylation to succinyl-CoA	PWY66-398,LEU-DEG2-PWY,VALDEG-PWY,PWY-5328,PWY-5130,PWY66-428,ILEUDEG-PWY,GLYCLEAV-PWY,PWY66-407,PYRUVDEHYD-PWY,PWY-5046,PWY-5084	2-oxoglutarate dehydrogenase complex,2OXOGLUTDECARB-RXN,RXN0-1147,4-methyl-2-oxopentanoate dehydrogenase (acylating),4-methyl-2-oxopentanoate dehydrogenase (lipoamide),dihydrolipoyllysine-residue (3-methylbutanoyl)transferase,1.2.1.25-RXN,1.2.4.4-RXN,2.3.1.168-RXN,RXN-7790,(S)-3-methyl-2-oxopentanoate dehydrogenase (acylating),3-methyl-2-oxobutanoate dehydrogenase [(S)-2-methylbutanoyl-transferring),dihydrolipoyllysine-residue (2-methylbutanoyl)transferase,PYRUVDEH-RXN,RXN0-1134,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),2-(alpha-hydroxyethyl)-TPP:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine acetyltransferase,RXN0-1133,RXN-8629,RXN0-1132,RXN-7719,RXN-7716	2OXOGLUTARATEDEH-RXN,2OXOGLUTDECARB-RXN,RXN0-1147,2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN,KETOISOCAPROATE-RXN,ISOVALERYLCOA-DHLIPOAMIDE-RXN,1.2.1.25-RXN,1.2.4.4-RXN,2.3.1.168-RXN,RXN-7790,2KETO-3METHYLVALERATE-RXN,METHYLVALERATE-RXN,MBCOA-DHLIPOAMIDE-RXN,PYRUVDEH-RXN,RXN0-1134,RXN-12583,RXN-12508,RXN0-1133,RXN-8629,RXN0-1132,RXN-7719,RXN-7716		RXN0-1147		2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN,1.2.1.25-RXN	2.3.1.168-RXN,RXN-7790				RXN0-1134,RXN-8629,RXN0-1132,RXN-7719,RXN-7716				PYRUVDEH-RXN		1.2.4.4-RXN,2KETO-3METHYLVALERATE-RXN				2OXOGLUTARATEDEH-RXN	2OXOGLUTDECARB-RXN
SLC17A2	O00624	['SLC17A2', 'NPT3']	['SLC34A1', 'NPT3', 'NPT2', 'SLC17A2']			sodium coupled phosphate plasma membrane transport	TRANS-RXN66-1159											TRANS-RXN66-1159									
PPEF2	O14830	['PPEF2']	['PPEF2']			3.1.3.16-RXN	3.1.3.16-RXN																				
SLC30A4	O14863	['SLC30A4', 'ZNT4']	['SLC30A4', 'ZNT4']			zinc plasma membrane transport	TRANS-RXN66-565											TRANS-RXN66-565									
BACH1	O14867	['BACH1']	['BRIP1', 'BACH1', 'FANCJ']			RXN-11135	RXN-11135																				
PPP1R2P9	O14990	['PPP1R2P9']	['PPP1R2P9']			3.1.3.16-RXN	3.1.3.16-RXN																				
MAST4	O15021	['MAST4', 'KIAA0303']	['MAST4', 'KIAA0303']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RIMBP2	O15034	['RIMBP2', 'KIAA0318', 'RBP2']	['RBP2', 'CRBP2']	the visual cycle I (vertebrates),retinol biosynthesis	PWY-6861,PWY-6857	RXN-12548	RXN-12548																				
SYNM	O15061	['SYNM', 'DMN', 'KIAA0353', 'SYN']	['FYN', 'MGC45350', 'SYN', 'SLK']			2.7.10.1-RXN	2.7.10.1-RXN																				
DCLK1	O15075	['DCLK1', 'DCAMKL1', 'DCDC3A', 'KIAA0369']	['DCLK1', 'DCAMKL1', 'DCDC3A', 'KIAA0369']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PPM1G	O15355	['PPM1G', 'PPM1C']	['PPM1G', 'PPM1C']			3.1.3.16-RXN	3.1.3.16-RXN																				
HTRA2	O43464	['HTRA2', 'OMI', 'PRSS25']	['HTRA2', 'OMI', 'PRSS25']			3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103,3.4.21.108-RXN	3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103,3.4.21.108-RXN																				
SLC31A2	O15432	['SLC31A2', 'COPT2', 'CTR2']	['SLC31A2', 'COPT2', 'CTR2']			TRANS-RXN66-1175	TRANS-RXN66-1175											TRANS-RXN66-1175									
ZSCAN9	O15535	['ZSCAN9', 'ZNF193', 'PIG12']	['PTGES', 'MGST1L1', 'PGES', 'PIG12']	C20 prostanoid biosynthesis	PWY66-374	PROSTAGLANDIN-E-SYNTHASE-RXN	PROSTAGLANDIN-E-SYNTHASE-RXN																			PROSTAGLANDIN-E-SYNTHASE-RXN	
DENR	O43583	['DENR', 'DRP1', 'H14']	['DNM1L', 'DLP1', 'DRP1']			RXN0-5462	RXN0-5462																				
DYRK3	O43781	['DYRK3']	['DYRK3']			2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN	2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN																				
MGEA5	O60502	['MGEA5', 'HEXC', 'KIAA0679', 'MEA5']	['MGEA5', 'HEXC', 'KIAA0679', 'MEA5']	protein O-[N-acetyl]-glucosylation	PWY-7437	RXN-15215,HISTONE-ACETYLTRANSFERASE-RXN,RXN-11892,RXN-11891	RXN-15215,HISTONE-ACETYLTRANSFERASE-RXN,RXN-11892,RXN-11891									RXN-15215,RXN-11892,RXN-11891	HISTONE-ACETYLTRANSFERASE-RXN										
NRD1	O43847	['NRD1']	['NRD1']			3.4.24.61-RXN	3.4.24.61-RXN																				
PRKY	O43930	['PRKY']	['PRKY']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MFSD11	O43934	['MFSD11', 'ET']	['PCYT2', 'ET']	plasmalogen biosynthesis,phosphatidylethanolamine biosynthesis II	PWY-7782,PWY4FS-6	2.7.7.14-RXN	2.7.7.14-RXN																				2.7.7.14-RXN
MAST3	O60307	['MAST3', 'KIAA0561']	['MAST3', 'KIAA0561']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
COX7A2P2	O60397	['COX7A2P2', 'COX7A3', 'COX7AL2', 'COX7AP2']	['COX7AP2', 'COX7A3', 'COX7AL2']			CYTOCHROME-C-OXIDASE-RXN	CYTOCHROME-C-OXIDASE-RXN																				
FMO6P	O60774	['FMO6P', 'FMO6']	['FMO6']	nicotine degradation IV	PWY66-201	RXN66-81,1.14.13.8-RXN	RXN66-81,1.14.13.8-RXN												1.14.13.8-RXN								
KCNJ13	O60928	['KCNJ13']	['KCNJ13', 'MGC33328', 'KIR7.1', 'KIR1.4']			TRANS-RXN66-557	TRANS-RXN66-557											TRANS-RXN66-557									
RNASEH1	O60930	['RNASEH1', 'RNH1']	['RNASEH1', 'RNH1']			3.1.13.1-RXN,3.1.26.12-RXN,3.1.26.3-RXN,3.1.26.5-RXN,RXN0-6478,RXN0-6479,RXN0-6480,RXN0-6485,RXN0-6521,RXN0-6522,RXN0-6523,RXN0-6524,3.1.27.5-RXN,3.1.26.4-RXN	3.1.13.1-RXN,3.1.26.12-RXN,3.1.26.3-RXN,3.1.26.5-RXN,RXN0-6478,RXN0-6479,RXN0-6480,RXN0-6485,RXN0-6521,RXN0-6522,RXN0-6523,RXN0-6524,3.1.27.5-RXN,3.1.26.4-RXN																				
FKTN	O75072	['FKTN', 'FCMD']	['FKTN', 'FCMD']	alpha-dystroglycan glycosylation	PWY-7981	RXN-19400	RXN-19400									RXN-19400											
B3GALNT1	O75752	['B3GALNT1', 'B3GALT3', 'UNQ531/PRO1074']	['B3GALNT1', 'B3GALT3', 'UNQ531/PRO1074']	super pathway of glycosphingolipids biosynthesis,globo-series glycosphingolipids biosynthesis	PWY-7835,PWY-7838	2.4.1.79-RXN	2.4.1.79-RXN																		2.4.1.79-RXN		
PDCD6	O75340	['PDCD6', 'ALG2']	['ALG2', 'UNQ666/PRO1298']	dolichyl-diphosphooligosaccharide biosynthesis	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	RXN-5463,RXN-5462	RXN-5463,RXN-5462																				
PTP4A3	O75365	['PTP4A3', 'PRL3']	['PTP4A3', 'PRL3']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
GIGYF1	O75420	['GIGYF1', 'CDS2', 'PERQ1', 'PP3360']	['CDS2']	CDP-diacylglycerol biosynthesis	PWY-5667	CDPDIGLYSYN-RXN	CDPDIGLYSYN-RXN														CDPDIGLYSYN-RXN						
KATNA1	O75449	['KATNA1']	['KATNA1']			3.6.4.3-RXN	3.6.4.3-RXN																				
CA11	O75493	['CA11', 'CARP2', 'UNQ211/PRO237']	['CA11', 'CARP2', 'UNQ211/PRO237']			CARBODEHYDRAT-RXN,RXN0-5224	CARBODEHYDRAT-RXN,RXN0-5224																				
MYCBP2	O75592	['MYCBP2', 'KIAA0916', 'PAM']	['PAM', 'PHM', 'PAL']			PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN,PEPTIDYLGLYCINE-MONOOXYGENASE-RXN	PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN,PEPTIDYLGLYCINE-MONOOXYGENASE-RXN																				
STK16	O75716	['STK16', 'MPSK1', 'PKL12', 'TSF1']	['STK16', 'MPSK1', 'PKL12', 'TSF1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RHBDL1	O75783	['RHBDL1', 'RHBDL']	['RHBDL1', 'RHBDL']			3.4.21.105-RXN	3.4.21.105-RXN																				
RNASEH2A	O75792	['RNASEH2A', 'RNASEHI', 'RNHIA']	['RNASEH2A', 'RNASEHI', 'RNHIA']			3.1.26.4-RXN	3.1.26.4-RXN																				
ZMYND10	O75800	['ZMYND10', 'BLU', 'LUCA12.4']	['UBE2N', 'HS11278', 'UBC13', 'UbcH-ben', 'BLU']	protein ubiquitylation	PWY-7511	RXN-15556	RXN-15556																				
ZMPSTE24	O75844	['ZMPSTE24', 'FACE1', 'STE24']	['ZMPSTE24', 'G66-33961', 'FACE1', 'STE24']			RXN-11698	RXN-11698																				
GATB	O75879	['GATB', 'PET112', 'PET112L', 'HSPC199']	['PET112L', 'HSPC199', 'PET112']	L-glutamine tRNA biosynthesis	PWY-5921	6.3.5.6-RXN,6.3.5.7-RXN	6.3.5.6-RXN,6.3.5.7-RXN																				
LYZL6	O75951	['LYZL6', 'LYC1', 'UNQ754/PRO1485']	['LYZL6', 'LYC1', 'UNQ754/PRO1485']			3.2.1.17-RXN	3.2.1.17-RXN																				
CABYR	O75952	['CABYR', 'CBP86', 'FSP2']	['SPAST', 'ADPSP', 'FSP2', 'KIAA1083', 'SPG4']			3.6.4.3-RXN	3.6.4.3-RXN																				
CDKL5	O76039	['CDKL5', 'STK9']	['CDKL5', 'STK9']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RECQL5	O94762	['RECQL5', 'RECQ5']	['RECQL5', 'RECQ5']			RXN0-4261	RXN0-4261																				
URI1	O94763	['URI1', 'C19orf2', 'NNX3', 'PPP1R19', 'RMP', 'URI']	['RMP', 'C19orf2', 'NNX3', 'URI']			DNA-DIRECTED-RNA-POLYMERASE-RXN	DNA-DIRECTED-RNA-POLYMERASE-RXN																				
STK17B	O94768	['STK17B', 'DRAK2']	['STK17B', 'DRAK2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MAP3K6	O95382	['MAP3K6', 'ASK2', 'MAPKKK6', 'MEKK6']	['MAP3K6', 'ASK2', 'MAPKKK6', 'MEKK6']			2.7.11.25-RXN	2.7.11.25-RXN																				
CDK14	O94921	['CDK14', 'KIAA0834', 'PFTK1']	['PFTK1', 'KIAA0834']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
HEXIM1	O94992	['HEXIM1', 'CLP1', 'EDG1', 'HIS1', 'MAQ1']	['CLP1', 'HEAB']			POLYNUCLEOTIDE-5-HYDROXYL-KINASE-RXN	POLYNUCLEOTIDE-5-HYDROXYL-KINASE-RXN																				
DUSP14	O95147	['DUSP14', 'MKP6']	['DUSP14', 'MKP6']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
ATE1	O95260	['ATE1']	['ATE1']	N-end rule pathway I (eukaryotic)	PWY-7799	RXN-17889,RXN-17890,RXN-17891,RXN-17888,ARGINYLTRANSFERASE-RXN	RXN-17889,RXN-17890,RXN-17891,RXN-17888,ARGINYLTRANSFERASE-RXN									RXN-17889,RXN-17890,RXN-17891,RXN-17888,ARGINYLTRANSFERASE-RXN											
LYPLA2	O95372	['LYPLA2', 'APT2']	['LYPLA2', 'DJ886K2.4', 'APT-2']			LYSOPHOSPHOLIPASE-RXN	LYSOPHOSPHOLIPASE-RXN																				
TGDS	O95455	['TGDS']	['TGDS']			DTDPGLUCDEHYDRAT-RXN	DTDPGLUCDEHYDRAT-RXN																				
PSMG1	O95456	['PSMG1', 'C21LRP', 'DSCR2', 'PAC1']	['DUSP2', 'PAC1']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
H6PD	O95479	['H6PD', 'GDH']	['H6PD', 'GDH']			GLUCOSE-1-DEHYDROGENASE-RXN,6PGLUCONOLACT-RXN	GLUCOSE-1-DEHYDROGENASE-RXN,6PGLUCONOLACT-RXN				GLUCOSE-1-DEHYDROGENASE-RXN					6PGLUCONOLACT-RXN											
PPP1R3D	O95685	['PPP1R3D', 'PPP1R6']	['PPP1R3D', 'PPP1R6']			3.1.3.16-RXN	3.1.3.16-RXN																				
OXSR1	O95747	['OXSR1', 'KIAA1101', 'OSR1']	['OXSR1', 'KIAA1101', 'OSR1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TXNDC12	O95881	['TXNDC12', 'TLP19', 'UNQ713/PRO1376']	['TXNDC12', 'TLP19', 'UNQ713/PRO1376']	glutathione redox reactions II	GLUT-REDOX-PWY	PRODISULFREDUCT-RXN,RXN0-7271	PRODISULFREDUCT-RXN,RXN0-7271									PRODISULFREDUCT-RXN											
TRUB2	O95900	['TRUB2']	['TRUB2']			RXN-12497	RXN-12497																				
TGM6	O95932	['TGM6', 'TGM3L']	['TGM6', 'TGM3L']			2.3.2.13-RXN	2.3.2.13-RXN																				
TOP3B	O95985	['TOP3B', 'TOP3B1']	['TOP3B']			5.99.1.2-RXN	5.99.1.2-RXN																				
B3GALT4	O96024	['B3GALT4', 'GALT4']	['B3GALT4', 'GALT4']	super pathway of glycosphingolipids biosynthesis,ganglio-series glycosphingolipids biosynthesis	PWY-7835,PWY-7836	RXN-18295,RXN-18270,RXN-18278,GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN	RXN-18295,RXN-18270,RXN-18278,GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN														RXN-18278,GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN				RXN-18295		RXN-18270
MOS	P00540	['MOS']	['MOS', 'MSV']			2.7.11.25-RXN,PROTEIN-KINASE-RXN	2.7.11.25-RXN,PROTEIN-KINASE-RXN																				
ALPI	P09923	['ALPI']	['ALPI', 'IAP']			RXN-14046,3.1.3.74-RXN,ALKAPHOSPHA-RXN	RXN-14046,3.1.3.74-RXN,ALKAPHOSPHA-RXN				3.1.3.74-RXN																
PRH1;	P02810	['PRH1;', 'PRH2']	['PRH2', 'Pr', 'PRH1']			3.4.21.87-RXN	3.4.21.87-RXN																				
SMR3B	P02814	['SMR3B', 'PBII', 'PRL3', 'PROL3']	['PTP4A3', 'PRL3']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
DNTT	P04053	['DNTT', 'TDT']	['DNTT', 'TDT']			DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN	DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN																				
ACYP1	P07311	['ACYP1', 'ACYPE']	['ACYP1', 'ACYPE']			ACYLPHOSPHATASE-RXN	ACYLPHOSPHATASE-RXN																				
RNASE1	P07998	['RNASE1', 'RIB1', 'RNS1']	['RNASE1', 'RNS1', 'RIB1']			3.1.27.5-RXN	3.1.27.5-RXN																				
MSMB	P08118	['MSMB', 'PRSP']	['HTRA3', 'PRSP']			3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103	3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103																				
SERPINA6	P08185	['SERPINA6', 'CBG']	['GBA3', 'CBG', 'CBGL1']			GLYCOSYLCERAMIDASE-RXN,3.2.1.21-RXN	GLYCOSYLCERAMIDASE-RXN,3.2.1.21-RXN									GLYCOSYLCERAMIDASE-RXN											3.2.1.21-RXN
CELA2B	P08218	['CELA2B', 'ELA2B']	['CELA2B', 'ELA2B']			3.4.21.71-RXN	3.4.21.71-RXN																				
CELA3B	P08861	['CELA3B', 'ELA3B']	['CELA3B', 'ELA3B']			3.4.21.83-RXN,3.4.21.87-RXN,3.4.21.92-RXN,3.4.24.55-RXN,3.4.21.70-RXN	3.4.21.83-RXN,3.4.21.87-RXN,3.4.21.92-RXN,3.4.24.55-RXN,3.4.21.70-RXN																				
CELA3A	P09093	['CELA3A', 'ELA3', 'ELA3A']	['CELA3A', 'ELA3', 'ELA3A']			3.4.21.83-RXN,3.4.21.87-RXN,3.4.21.92-RXN,3.4.24.55-RXN,3.4.21.70-RXN	3.4.21.83-RXN,3.4.21.87-RXN,3.4.21.92-RXN,3.4.24.55-RXN,3.4.21.70-RXN																				
CNP	P09543	['CNP']	['CNP', 'CNP1']			RXN-12058,RXN-12057,RXN-12059,RXN-12060,3.1.4.37-RXN	RXN-12058,RXN-12057,RXN-12059,RXN-12060,3.1.4.37-RXN																				
WEE2	P0C1S8	['WEE2', 'WEE1B']	['WEE2', 'WEE1B']			2.7.10.1-RXN	2.7.10.1-RXN																				
SBK2	P0C263	['SBK2', 'SGK069']	['SBK2', 'SGK069']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SBK3	P0C264	['SBK3', 'SGK110']	['SGK110']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
OST4	P0C6T2	['OST4']	['OST4']	dolichyl-diphosphooligosaccharide biosynthesis	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.119-RXN	2.4.1.119-RXN																				
ASAH2B	P0C7U1	['ASAH2B', 'ASAH2C', 'ASAH2L']	['ASAH2C']	sphingosine and sphingosine-1-phosphate metabolism	PWY3DJ-11470	CERAMIDASE-RXN	CERAMIDASE-RXN																				
GZMA	P12544	['GZMA', 'CTLA3', 'HFSP']	['GZMA', 'CTLA3', 'HFSP']			3.4.21.78-RXN	3.4.21.78-RXN																				
NLRP2P	P0DMW2	['NLRP2P', 'CLRX.1', 'NOD24', 'POP4']	['POP4', 'RPP29']			3.1.26.5-RXN	3.1.26.5-RXN																				
ACP2	P11117	['ACP2']	['ACP2']			ACID-PHOSPHATASE-RXN	ACID-PHOSPHATASE-RXN																				
LIPC	P11150	['LIPC', 'HTGL']	['LIPC', 'HTGL']	retinol biosynthesis,triacylglycerol degradation	PWY-6857,LIPAS-PWY	RXN-12579,RXN-12086,TRIACYLGLYCEROL-LIPASE-RXN	RXN-12579,RXN-12086,TRIACYLGLYCEROL-LIPASE-RXN																				
TYRP1	P17643	['TYRP1', 'CAS2', 'TYRP', 'TYRRP']	['TYRP1', 'CAS2', 'TYRP', 'TYRRP']	eumelanin biosynthesis	PWY-6498	RXN-11406	RXN-11406																				
ERG	P11308	['ERG']	['KCNH2', 'ERG', 'ERG1', 'HERG', 'HERG1']			TRANS-RXN66-557	TRANS-RXN66-557											TRANS-RXN66-557									
PSKH1	P11801	['PSKH1']	['PSKH1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PEPD	P12955	['PEPD', 'PRD']	['PEPD', 'PRD']			3.4.13.9-RXN	3.4.13.9-RXN																				
RNH1	P13489	['RNH1', 'PRI', 'RNH']	['RNASEH1', 'RNH1']			3.1.13.1-RXN,3.1.26.12-RXN,3.1.26.3-RXN,3.1.26.5-RXN,RXN0-6478,RXN0-6479,RXN0-6480,RXN0-6485,RXN0-6521,RXN0-6522,RXN0-6523,RXN0-6524,3.1.27.5-RXN,3.1.26.4-RXN	3.1.13.1-RXN,3.1.26.12-RXN,3.1.26.3-RXN,3.1.26.5-RXN,RXN0-6478,RXN0-6479,RXN0-6480,RXN0-6485,RXN0-6521,RXN0-6522,RXN0-6523,RXN0-6524,3.1.27.5-RXN,3.1.26.4-RXN																				
PDIA4	P13667	['PDIA4', 'ERP70', 'ERP72']	['PDIA4', 'ERP70', 'ERP72']			DISULISOM-RXN,5.3.4.1-RXN	DISULISOM-RXN,5.3.4.1-RXN																				
